Site;Year;Month;SF6
ZEP;1997;3;4.18
ZEP;1997;4;4.20
ZEP;1997;5;4.21
ZEP;1997;6;4.20
ZEP;1997;7;4.19
ZEP;1997;8;4.19
ZEP;1997;9;4.19
ZEP;1997;10;4.23
ZEP;1997;11;4.28
ZEP;1997;12;4.31
ZEP;1998;1;4.32
ZEP;1998;2;4.32
ZEP;1998;3;4.35
ZEP;1998;4;4.38
ZEP;1998;5;4.37
ZEP;1998;6;4.36
ZEP;1998;7;4.39
ZEP;1998;8;4.41
ZEP;1998;9;4.42
ZEP;1998;10;4.44
ZEP;1998;11;4.45
ZEP;1998;12;4.49
ZEP;1999;1;4.54
ZEP;1999;2;4.55
ZEP;1999;3;4.52
ZEP;1999;4;4.50
ZEP;1999;5;4.50
ZEP;1999;6;4.53
ZEP;1999;7;4.56
ZEP;1999;8;4.54
ZEP;1999;9;4.52
ZEP;1999;10;4.55
ZEP;1999;11;4.61
ZEP;1999;12;4.69
ZEP;2000;1;4.73
ZEP;2000;2;4.72
ZEP;2000;3;4.71
ZEP;2000;4;4.71
ZEP;2000;5;4.73
ZEP;2000;6;4.77
ZEP;2000;7;4.78
ZEP;2000;8;4.78
ZEP;2000;9;4.80
ZEP;2000;10;4.82
ZEP;2000;11;4.83
ZEP;2000;12;4.86
ZEP;2001;1;4.88
ZEP;2001;2;4.90
ZEP;2001;3;4.91
ZEP;2001;4;4.93
ZEP;2001;5;4.93
ZEP;2001;6;4.93
ZEP;2001;7;4.93
ZEP;2001;8;4.95
ZEP;2001;9;4.98
ZEP;2001;10;4.99
ZEP;2001;11;5.02
ZEP;2001;12;5.05
ZEP;2002;1;5.05
ZEP;2002;2;5.08
ZEP;2002;3;5.12
ZEP;2002;4;5.12
ZEP;2002;5;5.11
ZEP;2002;6;5.13
ZEP;2002;7;5.14
ZEP;2002;8;5.14
ZEP;2002;9;5.15
ZEP;2002;10;5.19
ZEP;2002;11;5.27
ZEP;2002;12;5.30
ZEP;2003;1;5.29
ZEP;2003;2;5.29
ZEP;2003;3;5.31
ZEP;2003;4;5.35
ZEP;2003;5;5.40
ZEP;2003;6;5.44
ZEP;2003;7;5.44
ZEP;2003;8;5.42
ZEP;2003;9;5.43
ZEP;2003;10;5.47
ZEP;2003;11;5.50
ZEP;2003;12;5.52
ZEP;2004;1;5.56
ZEP;2004;2;5.60
ZEP;2004;3;5.62
ZEP;2004;4;5.62
ZEP;2004;5;5.61
ZEP;2004;6;5.62
ZEP;2004;7;5.64
ZEP;2004;8;5.64
ZEP;2004;9;5.65
ZEP;2004;10;5.67
ZEP;2004;11;5.71
ZEP;2004;12;5.76
ZEP;2005;1;5.80
ZEP;2005;2;5.81
ZEP;2005;3;5.81
ZEP;2005;4;5.82
ZEP;2005;5;5.82
ZEP;2005;6;5.82
ZEP;2005;7;5.85
ZEP;2005;8;5.86
ZEP;2005;9;5.86
ZEP;2005;10;5.88
ZEP;2005;11;5.94
ZEP;2005;12;5.99
ZEP;2006;1;6.00
ZEP;2006;2;6.01
ZEP;2006;3;6.03
ZEP;2006;4;6.06
ZEP;2006;5;6.07
ZEP;2006;6;6.08
ZEP;2006;7;6.10
ZEP;2006;8;6.10
ZEP;2006;9;6.10
ZEP;2006;10;6.14
ZEP;2006;11;6.22
ZEP;2006;12;6.26
ZEP;2007;1;6.25
ZEP;2007;2;6.25
ZEP;2007;3;6.29
ZEP;2007;4;6.32
ZEP;2007;5;6.34
ZEP;2007;6;6.36
ZEP;2007;7;6.36
ZEP;2007;8;6.37
ZEP;2007;9;6.40
ZEP;2007;10;6.43
ZEP;2007;11;6.46
ZEP;2007;12;6.51
ZEP;2008;1;6.55
ZEP;2008;2;6.57
ZEP;2008;3;6.59
ZEP;2008;4;6.61
ZEP;2008;5;6.62
ZEP;2008;6;6.65
ZEP;2008;7;6.68
ZEP;2008;8;6.69
ZEP;2008;9;6.70
ZEP;2008;10;6.73
ZEP;2008;11;6.78
ZEP;2008;12;6.84
ZEP;2009;1;6.89
ZEP;2009;2;6.90
ZEP;2009;3;6.88
ZEP;2009;4;6.89
ZEP;2009;5;6.92
ZEP;2009;6;6.95
ZEP;2009;7;6.96
ZEP;2009;8;6.98
ZEP;2009;9;7.00
ZEP;2009;10;7.02
ZEP;2009;11;7.07
ZEP;2009;12;7.11
ZEP;2010;1;7.13
ZEP;2010;2;7.18
ZEP;2010;3;7.21
ZEP;2010;4;7.20
ZEP;2010;5;7.20
ZEP;2010;6;7.21
ZEP;2010;7;7.24
ZEP;2010;8;7.26
ZEP;2010;9;7.29
ZEP;2010;10;7.32
ZEP;2010;11;7.34
ZEP;2010;12;7.37
ZEP;2011;1;7.40
ZEP;2011;2;7.41
ZEP;2011;3;7.42
ZEP;2011;4;7.45
ZEP;2011;5;7.47
ZEP;2011;6;7.49
ZEP;2011;7;7.51
ZEP;2011;8;7.51
ZEP;2011;9;7.52
ZEP;2011;10;7.57
ZEP;2011;11;7.62
ZEP;2011;12;7.66
ZEP;2012;1;7.67
ZEP;2012;2;7.69
ZEP;2012;3;7.72
ZEP;2012;4;7.74
ZEP;2012;5;7.76
ZEP;2012;6;7.79
ZEP;2012;7;7.81
ZEP;2012;8;7.82
ZEP;2012;9;7.84
ZEP;2012;10;7.87
ZEP;2012;11;7.93
ZEP;2012;12;7.98
ZEP;2013;1;8.00
ZEP;2013;2;8.01
ZEP;2013;3;8.03
ZEP;2013;4;8.05
ZEP;2013;5;8.08
ZEP;2013;6;8.12
ZEP;2013;7;8.14
ZEP;2013;8;8.15
ZEP;2013;9;8.18
ZEP;2013;10;8.21
ZEP;2013;11;8.25
ZEP;2013;12;8.29
ZEP;2014;1;8.33
ZEP;2014;2;8.35
ZEP;2014;3;8.35
ZEP;2014;4;8.36
ZEP;2014;5;8.40
ZEP;2014;6;8.44
ZEP;2014;7;8.47
ZEP;2014;8;8.49
ZEP;2014;9;8.51
ZEP;2014;10;8.56
ZEP;2014;11;8.61
ZEP;2014;12;8.65
ZEP;2015;1;8.67
ZEP;2015;2;8.70
ZEP;2015;3;8.72
ZEP;2015;4;8.71
ZEP;2015;5;8.72
ZEP;2015;6;8.74
ZEP;2015;7;8.78
ZEP;2015;8;8.80
ZEP;2015;9;8.83
ZEP;2015;10;8.87
ZEP;2015;11;8.91
ZEP;2015;12;8.95
ZEP;2016;1;8.99
ZEP;2016;2;9.01
ZEP;2016;3;9.04
ZEP;2016;4;9.08
ZEP;2016;5;9.10
ZEP;2016;6;9.12
ZEP;2016;7;9.13
ZEP;2016;8;9.13
ZEP;2016;9;9.16
ZEP;2016;10;9.22
ZEP;2016;11;9.27
ZEP;2016;12;9.30
ZEP;2017;1;9.31
ZEP;2017;2;9.34
ZEP;2017;3;9.42
ZEP;2017;4;9.48
ZEP;2017;5;9.48
ZEP;2017;6;9.47
ZEP;2017;7;9.49
ZEP;2017;8;9.51
ZEP;2017;9;9.53
ZEP;2017;10;9.57
ZEP;2017;11;9.62
ZEP;2017;12;9.64
